State,deaths - 1/22/20,deaths - 1/23/20,deaths - 1/24/20,deaths - 1/25/20,deaths - 1/26/20,deaths - 1/27/20,deaths - 1/28/20,deaths - 1/29/20,deaths - 1/30/20,deaths - 1/31/20,deaths - 2/1/20,deaths - 2/2/20,deaths - 2/3/20,deaths - 2/4/20,deaths - 2/5/20,deaths - 2/6/20,deaths - 2/7/20,deaths - 2/8/20,deaths - 2/9/20,deaths - 2/10/20,deaths - 2/11/20,deaths - 2/12/20,deaths - 2/13/20,deaths - 2/14/20,deaths - 2/15/20,deaths - 2/16/20,deaths - 2/17/20,deaths - 2/18/20,deaths - 2/19/20,deaths - 2/20/20,deaths - 2/21/20,deaths - 2/22/20,deaths - 2/23/20,deaths - 2/24/20,deaths - 2/25/20,deaths - 2/26/20,deaths - 2/27/20,deaths - 2/28/20,deaths - 2/29/20,deaths - 3/1/20,deaths - 3/2/20,deaths - 3/3/20,deaths - 3/4/20,deaths - 3/5/20,deaths - 3/6/20,deaths - 3/7/20,deaths - 3/8/20,deaths - 3/9/20,deaths - 3/10/20,deaths - 3/11/20,deaths - 3/12/20,deaths - 3/13/20,deaths - 3/14/20,deaths - 3/15/20,deaths - 3/16/20,deaths - 3/17/20,deaths - 3/18/20,deaths - 3/19/20,deaths - 3/20/20,deaths - 3/21/20,deaths - 3/22/20,deaths - 3/23/20,deaths - 3/24/20,deaths - 3/25/20,deaths - 3/26/20,deaths - 3/27/20,deaths - 3/28/20,deaths - 3/29/20,deaths - 3/30/20,deaths - 3/31/20,deaths - 4/1/20,deaths - 4/2/20,deaths - 4/3/20,deaths - 4/4/20,deaths - 4/5/20,deaths - 4/6/20,deaths - 4/7/20,deaths - 4/8/20,deaths - 4/9/20,deaths - 4/10/20,deaths - 4/11/20,deaths - 4/12/20,deaths - 4/13/20,deaths - 4/14/20,deaths - 4/15/20,deaths - 4/16/20,deaths - 4/17/20,deaths - 4/18/20,deaths - 4/19/20,deaths - 4/20/20,deaths - 4/21/20,deaths - 4/22/20,deaths - 4/23/20,deaths - 4/24/20,deaths - 4/25/20,deaths - 4/26/20,deaths - 4/27/20,deaths - 4/28/20,deaths - 4/29/20,deaths - 4/30/20,deaths - 5/1/20,deaths - 5/2/20,deaths - 5/3/20,deaths - 5/4/20,deaths - 5/5/20,deaths - 5/6/20,deaths - 5/7/20,deaths - 5/8/20,deaths - 5/9/20,deaths - 5/10/20,deaths - 5/11/20,deaths - 5/12/20,deaths - 5/13/20,deaths - 5/14/20,deaths - 5/15/20,deaths - 5/16/20,deaths - 5/17/20,deaths - 5/18/20,deaths - 5/19/20,deaths - 5/20/20,deaths - 5/21/20,deaths - 5/22/20,deaths - 5/23/20,deaths - 5/24/20,deaths - 5/25/20,deaths - 5/26/20,deaths - 5/27/20,deaths - 5/28/20,deaths - 5/29/20,deaths - 5/30/20,deaths - 5/31/20,deaths - 6/1/20,deaths - 6/2/20,deaths - 6/3/20,deaths - 6/4/20,deaths - 6/5/20,deaths - 6/6/20,deaths - 6/7/20,deaths - 6/8/20,deaths - 6/9/20,deaths - 6/10/20,deaths - 6/11/20,deaths - 6/12/20,deaths - 6/13/20,deaths - 6/14/20,deaths - 6/15/20,deaths - 6/16/20,deaths - 6/17/20,deaths - 6/18/20,deaths - 6/19/20,deaths - 6/20/20,deaths - 6/21/20,deaths - 6/22/20,deaths - 6/23/20,deaths - 6/24/20,deaths - 6/25/20,deaths - 6/26/20,deaths - 6/27/20,deaths - 6/28/20,deaths - 6/29/20,deaths - 6/30/20,deaths - 7/1/20,deaths - 7/2/20,deaths - 7/3/20,deaths - 7/4/20,deaths - 7/5/20,deaths - 7/6/20,deaths - 7/7/20,deaths - 7/8/20,deaths - 7/9/20,deaths - 7/10/20,deaths - 7/11/20,deaths - 7/12/20,deaths - 7/13/20,deaths - 7/14/20,deaths - 7/15/20,deaths - 7/16/20,deaths - 7/17/20,deaths - 7/18/20,deaths - 7/19/20,deaths - 7/20/20,deaths - 7/21/20,deaths - 7/22/20,deaths - 7/23/20,deaths - 7/24/20,deaths - 7/25/20,deaths - 7/26/20,deaths - 7/27/20,deaths - 7/28/20,deaths - 7/29/20,deaths - 7/30/20,deaths - 7/31/20,deaths - 8/1/20,deaths - 8/2/20,deaths - 8/3/20,deaths - 8/4/20,deaths - 8/5/20,deaths - 8/6/20,deaths - 8/7/20,deaths - 8/8/20,deaths - 8/9/20,deaths - 8/10/20,deaths - 8/11/20,deaths - 8/12/20,deaths - 8/13/20,deaths - 8/14/20,deaths - 8/15/20,deaths - 8/16/20,deaths - 8/17/20,deaths - 8/18/20,deaths - 8/19/20,deaths - 8/20/20,deaths - 8/21/20,deaths - 8/22/20,deaths - 8/23/20,deaths - 8/24/20,deaths - 8/25/20,deaths - 8/26/20,deaths - 8/27/20,deaths - 8/28/20,deaths - 8/29/20,deaths - 8/30/20,deaths - 8/31/20,deaths - 9/1/20,deaths - 9/2/20,deaths - 9/3/20,deaths - 9/4/20,deaths - 9/5/20,deaths - 9/6/20,deaths - 9/7/20,deaths - 9/8/20,deaths - 9/9/20,deaths - 9/10/20,deaths - 9/11/20,deaths - 9/12/20,deaths - 9/13/20,deaths - 9/14/20,deaths - 9/15/20,deaths - 9/16/20
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,27,27,0,0,14,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,14,0,0,0,14,0,0,14,0,14,0,14,14,0,27,0,14,0,0,0,0,14,0,0,0,0,14,0,14,0,0,14,0,0,14,14,14,0,55,14,0,0,0,0,0,27,0,14,0,27,0,0,0,0,0,14,14,0,0,0,0
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,4,14,6,2,8,10,10,2,14,18,0,20,4,2,0,24,4,14,29,29,4,0,59,67,41,29,8,12,18,27,43,16,37,0,4,16,35,55,55,27,14,6,20,75,20,45,24,0,6,2,29,45,14,24,20,14,16,29,6,45,10,16,22,29,14,0,2,39,29,6,51,22,33,22,29,8,0,12,22,10,39,24,35,2,2,49,51,12,22,24,0,22,39,49,27,43,2,0,0,53,51,20,73,20,14,4,84,96,39,69,43,2,10,24,120,63,88,35,37,41,0,96,55,31,47,49,12,67,57,37,43,41,27,59,100,69,14,8,6,4,51,22,20,59,41,45,4,22,27,16,63,63,92,20,41,37,35,33,65,14,2,0,2,14,41,63,35,2,6,69,10
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,7,0,7,7,0,3,7,7,7,0,10,10,3,7,0,17,3,10,0,3,3,10,0,7,3,7,3,10,3,20,7,7,10,27,10,17,10,13,3,0,0,10,10,3,7,3,0,0,0,7,7,17,10,10,7,3,3,7,3,17,23,3,0,0,7,17,30,3,7,0,7,20,13,20,17,3,7,10,20,30,36,20,33,3,7,33,10,0,30,33,17,3,17,23,7,7,17,3,17,30,13,13,13,20,7,7,27,13,20,40,10,0,20,36,20,20,27,17,7,23,0,86,27,36,20,10,43,50,60,23,23,46,23,36,36,23,30,13,43,0,10,50,46,33,76,36,43,30,50,73,20,50,56,43,43,60,89,66,40,30,40,50,30,36,40,43,0,93,36,60,487
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,4,0,3,4,1,10,4,11,10,16,14,0,12,12,8,14,12,14,10,11,15,11,26,11,11,4,29,27,29,23,10,3,0,23,15,22,14,25,19,0,23,65,33,91,21,5,8,27,44,41,37,38,1,8,25,59,19,16,34,1,7,3,32,33,40,23,19,0,34,54,21,21,43,14,0,33,34,40,21,54,8,11,36,27,47,55,36,3,4,73,93,29,70,60,12,0,60,121,0,93,23,3,4,161,48,104,60,95,118,11,126,133,80,125,199,45,32,183,78,120,306,0,23,3,143,65,234,93,73,27,18,89,120,99,107,77,15,4,67,203,48,55,95,18,1,29,140,73,8,95,19,0,30,143,45,66,40,26,0,23,32,89,56,49,15,0,3,43,30,21,30,15,0,30,38
CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,4,4,4,5,3,4,8,8,8,10,10,7,9,15,14,10,13,9,11,12,13,25,23,10,34,8,12,24,29,25,21,20,6,16,23,19,23,25,14,6,19,24,21,20,22,16,7,15,25,23,20,27,13,8,11,31,23,26,18,17,4,4,14,23,20,20,17,8,0,36,17,17,21,17,7,6,23,27,19,14,18,7,8,21,20,19,17,17,5,15,14,26,20,15,8,8,12,27,20,56,-18,5,2,28,29,37,35,26,19,6,12,36,33,31,14,40,3,15,30,40,39,35,23,6,24,43,45,29,55,35,8,29,49,42,34,47,25,22,23,44,41,47,38,19,4,27,46,42,33,41,37,9,27,38,36,35,28,27,8,21,37,40,42,39,16,5,8,13,45,15,54,18,13,21,37,24
CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,3,2,0,0,21,9,10,23,5,12,26,19,30,24,26,23,19,50,23,59,40,43,28,0,66,47,30,30,35,19,47,64,38,76,189,17,14,43,54,52,19,75,21,17,16,85,35,40,26,14,7,30,40,92,54,102,73,38,17,57,71,17,23,9,7,5,33,71,50,24,12,3,21,28,35,30,19,7,0,28,19,35,19,21,5,2,9,23,17,9,7,7,0,7,17,3,2,14,0,0,14,12,12,0,7,0,0,2,7,16,3,31,2,0,3,17,10,3,10,2,0,10,9,14,26,7,7,0,9,0,36,2,28,7,2,0,7,3,3,5,3,2,9,23,0,10,10,14,2,0,5,3,5,12,12,0,0,10,7,7,10,10,0,3,2,9,5,21,0,7,5,0,5,5,10,5,0,3,10,10
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,8,6,6,20,6,17,17,3,6,87,45,76,62,90,67,50,191,165,126,185,126,171,135,194,558,289,182,137,112,572,258,325,269,359,278,182,244,210,224,247,236,275,163,168,219,238,219,216,163,98,115,93,230,269,185,151,196,112,65,160,149,157,104,59,137,70,93,73,118,123,84,0,84,48,50,87,48,45,36,28,67,79,36,76,39,8,17,28,20,34,36,25,8,39,28,31,25,11,14,6,6,11,6,25,0,0,8,0,14,14,0,0,0,56,11,22,22,20,0,0,28,0,3,11,8,0,0,14,0,20,14,3,0,0,8,0,0,6,11,0,0,8,0,17,0,8,0,0,3,0,0,3,8,0,0,0,11,3,3,0,0,0,6,3,3,3,0,0,0,0,17,0,11,6,0,0,14,0,6
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,14,0,14,14,57,0,28,14,43,85,0,14,0,0,0,0,0,0,0,0,638,71,128,71,71,71,128,99,213,170,198,170,184,99,71,213,269,99,128,156,99,85,0,298,269,99,170,71,113,198,113,142,99,113,128,113,99,71,85,128,71,113,0,71,113,99,28,57,28,28,43,28,57,57,85,28,57,57,43,57,71,57,0,71,43,57,43,14,28,28,28,57,28,43,28,28,14,0,28,14,14,28,28,28,0,43,57,0,0,0,0,43,43,43,0,14,0,14,14,14,0,0,0,14,14,0,14,14,0,0,14,0,14,0,0,28,14,14,0,28,0,14,0,43,0,0,28,14,14,14,28,0,0,0,14,0,0,0,14,14,0,14,14,28,0,0,0,0,57,14,0,0,0,0,0,14
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31,10,10,31,10,10,21,0,0,10,10,31,41,92,10,21,0,82,31,62,92,62,0,51,103,72,31,82,123,82,51,123,72,82,72,92,92,51,51,62,92,0,0,0,216,134,103,134,113,154,41,72,72,62,72,51,21,21,62,41,92,10,113,51,51,21,51,21,103,31,21,82,0,123,31,10,0,51,31,10,10,21,51,21,10,10,0,698,10,21,0,0,0,0,10,10,21,0,21,0,0,21,10,10,0,-10,0,0,62,0,0,21,0,0,0,21,21,21,503,10,0,0,0,21,0,21,21,0,0,21,0,0,10,21,10,0,0,0,10,0,0,0,0,0,31,0,51,0,0,31,0,10,0,0,0,0,10,0,10,0,0,21,10,0,0,0,41,0,0,21,21,10,10
FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,2,3,7,5,1,6,7,6,22,12,12,12,15,20,13,22,23,13,7,0,51,20,25,27,11,11,23,20,28,28,27,4,9,7,39,22,23,22,23,7,9,32,31,28,33,21,3,7,20,22,22,20,21,5,11,26,20,23,21,20,2,7,3,28,21,23,16,2,4,33,16,20,25,13,6,5,25,16,22,14,22,3,3,26,12,20,20,19,8,5,30,21,21,18,11,13,13,27,22,31,31,8,14,22,29,23,56,43,44,21,16,61,52,73,54,47,40,42,62,65,81,63,58,35,36,0,187,118,120,83,29,34,114,105,56,84,85,36,42,129,99,69,106,95,49,41,102,81,54,57,49,24,34,85,71,62,42,68,7,32,87,59,69,47,28,18,10,21,93,99,81,44,5,17,68,71
GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,5,5,1,11,1,0,28,11,4,21,21,27,17,21,9,10,69,46,23,37,14,11,9,0,73,49,37,50,8,13,73,44,26,31,19,7,10,68,39,55,35,31,7,6,55,47,34,22,40,2,2,47,35,21,30,36,9,8,38,33,20,74,29,15,5,22,45,36,28,30,1,38,37,24,22,23,8,10,2,86,14,56,42,30,19,5,50,30,41,19,32,1,0,14,39,25,31,20,2,1,15,10,24,18,4,3,1,20,19,19,16,49,4,2,15,0,60,14,25,27,5,2,65,75,27,74,47,4,12,0,119,33,73,66,13,2,70,57,40,81,62,11,29,107,103,78,32,87,32,20,60,51,52,87,89,36,24,94,44,78,74,92,25,25,92,59,63,57,46,54,7,24,53,71,42,39,43,19,43,19
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,7,0,7,7,7,0,0,14,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,14,0,0,0,7,7,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,7,0,14,14,0,0,21,0,28,14,0,0,0,0,7,7,21,7,7,0,14,0,14,28,28,21,7,49,28,7,28,14,21,7,7,14,21,21,14,7,14,0,7,21
