,,cases
Adams County,week 1,0
Adams County,week 2,0
Adams County,week 3,0
Adams County,week 4,0
Adams County,week 5,0
Adams County,week 6,0
Adams County,week 7,0
Adams County,week 8,0
Adams County,week 9,26
Adams County,week 10,55
Adams County,week 11,145
Adams County,week 12,325
Adams County,week 13,531
Adams County,week 14,773
Adams County,week 15,989
Adams County,week 16,1102
Adams County,week 17,1288
Adams County,week 18,1523
Adams County,week 19,1717
Adams County,week 20,1879
Adams County,week 21,2014
Adams County,week 22,2176
Adams County,week 23,2294
Adams County,week 24,2438
Adams County,week 25,2682
Adams County,week 26,2878
Adams County,week 27,3076
Adams County,week 28,3281
Adams County,week 29,3541
Adams County,week 30,3809
Adams County,week 31,3948
Adams County,week 32,4323
Adams County,week 33,4903
Adams County,week 34,5120
Adams County,week 35,5454
Adams County,week 36,5776
Adams County,week 37,6090
Adams County,week 38,6471
Adams County,week 39,6919
Adams County,week 40,7513
Adams County,week 41,8222
Adams County,week 42,9174
Adams County,week 43,1408
Allegheny County,week 1,0
Allegheny County,week 2,0
Allegheny County,week 3,0
Allegheny County,week 4,0
Allegheny County,week 5,0
Allegheny County,week 6,0
Allegheny County,week 7,0
Allegheny County,week 8,19
Allegheny County,week 9,232
Allegheny County,week 10,1523
Allegheny County,week 11,3739
Allegheny County,week 12,5729
Allegheny County,week 13,6921
Allegheny County,week 14,8282
Allegheny County,week 15,9299
Allegheny County,week 16,10314
Allegheny County,week 17,11175
Allegheny County,week 18,12295
Allegheny County,week 19,13204
Allegheny County,week 20,13917
Allegheny County,week 21,14508
Allegheny County,week 22,15167
Allegheny County,week 23,17438
Allegheny County,week 24,23994
Allegheny County,week 25,33244
Allegheny County,week 26,42747
Allegheny County,week 27,50024
Allegheny County,week 28,56816
Allegheny County,week 29,61426
Allegheny County,week 30,65397
Allegheny County,week 31,68650
Allegheny County,week 32,71441
Allegheny County,week 33,74771
Allegheny County,week 34,77831
Allegheny County,week 35,81519
Allegheny County,week 36,84591
Allegheny County,week 37,88218
Allegheny County,week 38,92284
Allegheny County,week 39,97510
Allegheny County,week 40,103448
Allegheny County,week 41,110377
Allegheny County,week 42,119988
Allegheny County,week 43,18339
Armstrong County,week 1,0
Armstrong County,week 2,0
Armstrong County,week 3,0
Armstrong County,week 4,0
Armstrong County,week 5,0
Armstrong County,week 6,0
Armstrong County,week 7,0
Armstrong County,week 8,0
Armstrong County,week 9,1
Armstrong County,week 10,16
Armstrong County,week 11,78
Armstrong County,week 12,170
Armstrong County,week 13,243
Armstrong County,week 14,314
Armstrong County,week 15,362
Armstrong County,week 16,385
Armstrong County,week 17,401
Armstrong County,week 18,407
Armstrong County,week 19,433
Armstrong County,week 20,452
Armstrong County,week 21,462
Armstrong County,week 22,482
Armstrong County,week 23,505
Armstrong County,week 24,544
Armstrong County,week 25,587
Armstrong County,week 26,739
Armstrong County,week 27,1050
Armstrong County,week 28,1282
Armstrong County,week 29,1458
Armstrong County,week 30,1682
Armstrong County,week 31,1919
Armstrong County,week 32,2165
Armstrong County,week 33,2411
Armstrong County,week 34,2644
Armstrong County,week 35,2857
Armstrong County,week 36,3025
Armstrong County,week 37,3219
Armstrong County,week 38,3503
Armstrong County,week 39,3914
Armstrong County,week 40,4442
Armstrong County,week 41,5352
Armstrong County,week 42,6472
Armstrong County,week 43,1051
Beaver County,week 1,0
Beaver County,week 2,0
Beaver County,week 3,0
Beaver County,week 4,0
Beaver County,week 5,0
Beaver County,week 6,0
Beaver County,week 7,0
Beaver County,week 8,1
Beaver County,week 9,18
Beaver County,week 10,186
Beaver County,week 11,539
Beaver County,week 12,993
Beaver County,week 13,1671
Beaver County,week 14,2473
Beaver County,week 15,3017
Beaver County,week 16,3379
Beaver County,week 17,3638
Beaver County,week 18,3872
Beaver County,week 19,4091
Beaver County,week 20,4202
Beaver County,week 21,4279
Beaver County,week 22,4350
Beaver County,week 23,4519
Beaver County,week 24,5041
Beaver County,week 25,5765
Beaver County,week 26,6581
Beaver County,week 27,7691
Beaver County,week 28,8526
Beaver County,week 29,9129
Beaver County,week 30,9748
Beaver County,week 31,10385
Beaver County,week 32,11060
Beaver County,week 33,11809
Beaver County,week 34,12323
Beaver County,week 35,12785
Beaver County,week 36,13143
Beaver County,week 37,13707
Beaver County,week 38,14211
Beaver County,week 39,14895
Beaver County,week 40,15563
Beaver County,week 41,16268
Beaver County,week 42,17354
Beaver County,week 43,2637
Bedford County,week 1,0
Bedford County,week 2,0
Bedford County,week 3,0
Bedford County,week 4,0
Bedford County,week 5,0
Bedford County,week 6,0
Bedford County,week 7,0
Bedford County,week 8,0
Bedford County,week 9,0
Bedford County,week 10,2
Bedford County,week 11,25
Bedford County,week 12,31
Bedford County,week 13,93
Bedford County,week 14,142
Bedford County,week 15,170
Bedford County,week 16,198
Bedford County,week 17,217
Bedford County,week 18,252
Bedford County,week 19,273
Bedford County,week 20,303
Bedford County,week 21,336
Bedford County,week 22,449
Bedford County,week 23,540
Bedford County,week 24,621
Bedford County,week 25,642
Bedford County,week 26,704
Bedford County,week 27,812
Bedford County,week 28,900
Bedford County,week 29,977
Bedford County,week 30,1053
Bedford County,week 31,1115
Bedford County,week 32,1173
Bedford County,week 33,1239
Bedford County,week 34,1406
Bedford County,week 35,1576
Bedford County,week 36,1673
Bedford County,week 37,1789
Bedford County,week 38,1978
Bedford County,week 39,2292
Bedford County,week 40,2611
Bedford County,week 41,3106
Bedford County,week 42,4261
Bedford County,week 43,727
Berks County,week 1,0
Berks County,week 2,0
Berks County,week 3,0
Berks County,week 4,0
Berks County,week 5,0
Berks County,week 6,0
Berks County,week 7,0
Berks County,week 8,0
Berks County,week 9,57
Berks County,week 10,462
Berks County,week 11,1726
Berks County,week 12,6114
Berks County,week 13,11870
Berks County,week 14,16648
Berks County,week 15,19731
Berks County,week 16,22831
Berks County,week 17,25382
Berks County,week 18,26937
Berks County,week 19,28157
Berks County,week 20,29290
Berks County,week 21,30081
Berks County,week 22,30741
Berks County,week 23,31421
Berks County,week 24,32027
Berks County,week 25,32715
Berks County,week 26,33617
Berks County,week 27,34934
Berks County,week 28,36201
Berks County,week 29,37463
Berks County,week 30,38888
Berks County,week 31,40462
Berks County,week 32,42042
Berks County,week 33,43717
Berks County,week 34,45518
Berks County,week 35,47613
Berks County,week 36,49204
Berks County,week 37,51066
Berks County,week 38,53931
Berks County,week 39,57429
Berks County,week 40,61781
Berks County,week 41,66964
Berks County,week 42,71870
Berks County,week 43,10767
Blair County,week 1,0
Blair County,week 2,0
Blair County,week 3,0
Blair County,week 4,0
Blair County,week 5,0
Blair County,week 6,0
Blair County,week 7,0
Blair County,week 8,0
Blair County,week 9,0
Blair County,week 10,15
Blair County,week 11,33
Blair County,week 12,63
Blair County,week 13,92
Blair County,week 14,132
Blair County,week 15,166
Blair County,week 16,196
Blair County,week 17,243
Blair County,week 18,317
Blair County,week 19,347
Blair County,week 20,369
Blair County,week 21,380
Blair County,week 22,401
Blair County,week 23,491
Blair County,week 24,566
Blair County,week 25,700
Blair County,week 26,912
Blair County,week 27,1193
Blair County,week 28,1513
Blair County,week 29,1910
Blair County,week 30,2321
Blair County,week 31,2749
Blair County,week 32,3108
Blair County,week 33,3412
Blair County,week 34,3623
Blair County,week 35,3956
Blair County,week 36,4628
Blair County,week 37,5310
Blair County,week 38,6074
Blair County,week 39,6977
Blair County,week 40,7999
Blair County,week 41,9746
Blair County,week 42,12835
Blair County,week 43,2076
Bradford County,week 1,0
Bradford County,week 2,0
Bradford County,week 3,0
Bradford County,week 4,0
Bradford County,week 5,0
Bradford County,week 6,0
Bradford County,week 7,0
Bradford County,week 8,0
Bradford County,week 9,1
Bradford County,week 10,21
Bradford County,week 11,69
Bradford County,week 12,120
Bradford County,week 13,160
Bradford County,week 14,196
Bradford County,week 15,233
Bradford County,week 16,257
Bradford County,week 17,285
Bradford County,week 18,304
Bradford County,week 19,322
Bradford County,week 20,322
Bradford County,week 21,326
Bradford County,week 22,344
Bradford County,week 23,382
Bradford County,week 24,395
Bradford County,week 25,413
Bradford County,week 26,444
Bradford County,week 27,513
Bradford County,week 28,568
Bradford County,week 29,601
Bradford County,week 30,643
Bradford County,week 31,663
Bradford County,week 32,686
Bradford County,week 33,707
Bradford County,week 34,739
Bradford County,week 35,853
Bradford County,week 36,1011
Bradford County,week 37,1429
Bradford County,week 38,2225
Bradford County,week 39,3157
Bradford County,week 40,4344
Bradford County,week 41,6023
Bradford County,week 42,7618
Bradford County,week 43,1224
Bucks County,week 1,0
Bucks County,week 2,0
Bucks County,week 3,0
Bucks County,week 4,0
Bucks County,week 5,0
Bucks County,week 6,0
Bucks County,week 7,2
Bucks County,week 8,27
Bucks County,week 9,201
Bucks County,week 10,1204
Bucks County,week 11,3480
Bucks County,week 12,7142
Bucks County,week 13,11301
Bucks County,week 14,16571
Bucks County,week 15,21927
Bucks County,week 16,26833
Bucks County,week 17,30658
Bucks County,week 18,33668
Bucks County,week 19,35256
Bucks County,week 20,36578
Bucks County,week 21,37839
Bucks County,week 22,38703
Bucks County,week 23,39839
Bucks County,week 24,40994
Bucks County,week 25,42389
Bucks County,week 26,44228
Bucks County,week 27,46512
Bucks County,week 28,48575
Bucks County,week 29,50161
Bucks County,week 30,51637
Bucks County,week 31,52900
Bucks County,week 32,54162
Bucks County,week 33,55944
Bucks County,week 34,57575
Bucks County,week 35,59422
Bucks County,week 36,61217
Bucks County,week 37,62979
Bucks County,week 38,64917
Bucks County,week 39,66904
Bucks County,week 40,69436
Bucks County,week 41,72984
Bucks County,week 42,78444
Bucks County,week 43,11921
Butler County,week 1,0
Butler County,week 2,0
Butler County,week 3,0
Butler County,week 4,0
Butler County,week 5,0
Butler County,week 6,0
Butler County,week 7,0
Butler County,week 8,0
Butler County,week 9,13
Butler County,week 10,254
Butler County,week 11,577
Butler County,week 12,896
Butler County,week 13,1105
Butler County,week 14,1178
Butler County,week 15,1257
Butler County,week 16,1348
Butler County,week 17,1412
Butler County,week 18,1501
Butler County,week 19,1596
Butler County,week 20,1700
Butler County,week 21,1792
Butler County,week 22,1864
Butler County,week 23,2036
Butler County,week 24,2372
Butler County,week 25,2893
Butler County,week 26,3307
Butler County,week 27,3806
Butler County,week 28,4198
Butler County,week 29,4571
Butler County,week 30,4994
Butler County,week 31,5193
Butler County,week 32,5416
Butler County,week 33,5948
Butler County,week 34,6487
Butler County,week 35,6896
Butler County,week 36,7293
Butler County,week 37,7772
Butler County,week 38,8681
Butler County,week 39,9684
Butler County,week 40,10987
Butler County,week 41,12930
Butler County,week 42,15542
Butler County,week 43,2566
Cambria County,week 1,0
Cambria County,week 2,0
Cambria County,week 3,0
Cambria County,week 4,0
Cambria County,week 5,0
Cambria County,week 6,0
Cambria County,week 7,0
Cambria County,week 8,0
Cambria County,week 9,2
Cambria County,week 10,9
Cambria County,week 11,38
Cambria County,week 12,84
Cambria County,week 13,117
Cambria County,week 14,145
Cambria County,week 15,217
Cambria County,week 16,286
Cambria County,week 17,354
Cambria County,week 18,391
Cambria County,week 19,402
Cambria County,week 20,414
Cambria County,week 21,426
Cambria County,week 22,428
Cambria County,week 23,501
Cambria County,week 24,650
Cambria County,week 25,888
Cambria County,week 26,1143
Cambria County,week 27,1465
Cambria County,week 28,1806
Cambria County,week 29,2323
Cambria County,week 30,2617
Cambria County,week 31,2953
Cambria County,week 32,3186
Cambria County,week 33,3431
Cambria County,week 34,3625
Cambria County,week 35,3776
Cambria County,week 36,3978
Cambria County,week 37,4460
Cambria County,week 38,5162
Cambria County,week 39,5976
Cambria County,week 40,6990
Cambria County,week 41,8356
Cambria County,week 42,10688
Cambria County,week 43,1780
Cameron County,week 1,0
Cameron County,week 2,0
Cameron County,week 3,0
Cameron County,week 4,0
Cameron County,week 5,0
Cameron County,week 6,0
Cameron County,week 7,0
Cameron County,week 8,0
Cameron County,week 9,0
Cameron County,week 10,4
Cameron County,week 11,7
Cameron County,week 12,7
Cameron County,week 13,7
Cameron County,week 14,7
Cameron County,week 15,8
Cameron County,week 16,14
Cameron County,week 17,14
Cameron County,week 18,14
Cameron County,week 19,14
Cameron County,week 20,14
Cameron County,week 21,14
Cameron County,week 22,14
Cameron County,week 23,17
Cameron County,week 24,25
Cameron County,week 25,28
Cameron County,week 26,35
Cameron County,week 27,35
Cameron County,week 28,39
Cameron County,week 29,45
Cameron County,week 30,55
Cameron County,week 31,56
Cameron County,week 32,56
Cameron County,week 33,56
Cameron County,week 34,56
Cameron County,week 35,56
Cameron County,week 36,56
Cameron County,week 37,56
Cameron County,week 38,56
Cameron County,week 39,56
Cameron County,week 40,57
Cameron County,week 41,72
Cameron County,week 42,99
Cameron County,week 43,16
Carbon County,week 1,0
Carbon County,week 2,0
Carbon County,week 3,0
Carbon County,week 4,0
Carbon County,week 5,0
Carbon County,week 6,0
Carbon County,week 7,0
Carbon County,week 8,0
Carbon County,week 9,1
Carbon County,week 10,47
Carbon County,week 11,305
Carbon County,week 12,657
Carbon County,week 13,913
Carbon County,week 14,1127
Carbon County,week 15,1261
Carbon County,week 16,1356
Carbon County,week 17,1469
Carbon County,week 18,1582
Carbon County,week 19,1644
Carbon County,week 20,1728
Carbon County,week 21,1801
Carbon County,week 22,1857
Carbon County,week 23,1917
Carbon County,week 24,1995
Carbon County,week 25,2075
Carbon County,week 26,2224
Carbon County,week 27,2416
Carbon County,week 28,2511
Carbon County,week 29,2585
Carbon County,week 30,2717
Carbon County,week 31,2889
Carbon County,week 32,2945
Carbon County,week 33,2998
Carbon County,week 34,3047
Carbon County,week 35,3114
Carbon County,week 36,3234
Carbon County,week 37,3323
Carbon County,week 38,3521
Carbon County,week 39,3753
Carbon County,week 40,3963
Carbon County,week 41,4277
Carbon County,week 42,4894
Carbon County,week 43,773
Centre County,week 1,0
Centre County,week 2,0
Centre County,week 3,0
Centre County,week 4,0
Centre County,week 5,0
Centre County,week 6,0
Centre County,week 7,0
Centre County,week 8,0
Centre County,week 9,13
Centre County,week 10,115
Centre County,week 11,268
Centre County,week 12,456
Centre County,week 13,513
Centre County,week 14,571
Centre County,week 15,696
Centre County,week 16,823
Centre County,week 17,907
Centre County,week 18,991
Centre County,week 19,1063
Centre County,week 20,1087
Centre County,week 21,1160
Centre County,week 22,1259
Centre County,week 23,1394
Centre County,week 24,1543
Centre County,week 25,1694
Centre County,week 26,1932
Centre County,week 27,2281
Centre County,week 28,2488
Centre County,week 29,2580
Centre County,week 30,2718
Centre County,week 31,2905
Centre County,week 32,3212
Centre County,week 33,4404
Centre County,week 34,7813
Centre County,week 35,12131
Centre County,week 36,16603
Centre County,week 37,20412
Centre County,week 38,23698
Centre County,week 39,25693
Centre County,week 40,27727
Centre County,week 41,29785
Centre County,week 42,31904
Centre County,week 43,4768
Chester County,week 1,0
Chester County,week 2,0
Chester County,week 3,0
Chester County,week 4,0
Chester County,week 5,0
Chester County,week 6,0
Chester County,week 7,0
Chester County,week 8,11
Chester County,week 9,158
Chester County,week 10,803
Chester County,week 11,1780
Chester County,week 12,3591
Chester County,week 13,5533
Chester County,week 14,7784
Chester County,week 15,10243
Chester County,week 16,12489
Chester County,week 17,14593
Chester County,week 18,16440
Chester County,week 19,18671
Chester County,week 20,21027
Chester County,week 21,22819
Chester County,week 22,24194
Chester County,week 23,25429
Chester County,week 24,26596
Chester County,week 25,27837
Chester County,week 26,29675
Chester County,week 27,31999
Chester County,week 28,34009
Chester County,week 29,35511
Chester County,week 30,36880
Chester County,week 31,37938
Chester County,week 32,39059
Chester County,week 33,40887
Chester County,week 34,43235
Chester County,week 35,45559
Chester County,week 36,47386
Chester County,week 37,49155
Chester County,week 38,50998
Chester County,week 39,52931
Chester County,week 40,54858
Chester County,week 41,57573
Chester County,week 42,61189
Chester County,week 43,9169
Clarion County,week 1,0
Clarion County,week 2,0
Clarion County,week 3,0
Clarion County,week 4,0
Clarion County,week 5,0
Clarion County,week 6,0
Clarion County,week 7,0
Clarion County,week 8,0
Clarion County,week 9,0
Clarion County,week 10,6
Clarion County,week 11,36
Clarion County,week 12,88
Clarion County,week 13,123
Clarion County,week 14,150
Clarion County,week 15,161
Clarion County,week 16,161
Clarion County,week 17,168
Clarion County,week 18,175
Clarion County,week 19,184
Clarion County,week 20,191
Clarion County,week 21,214
Clarion County,week 22,219
Clarion County,week 23,234
Clarion County,week 24,297
Clarion County,week 25,409
Clarion County,week 26,472
Clarion County,week 27,500
Clarion County,week 28,525
Clarion County,week 29,551
Clarion County,week 30,611
Clarion County,week 31,664
Clarion County,week 32,684
Clarion County,week 33,701
Clarion County,week 34,765
Clarion County,week 35,796
Clarion County,week 36,845
Clarion County,week 37,934
Clarion County,week 38,1098
Clarion County,week 39,1234
Clarion County,week 40,1434
Clarion County,week 41,1696
Clarion County,week 42,2240
Clarion County,week 43,386
Clearfield County,week 1,0
Clearfield County,week 2,0
Clearfield County,week 3,0
Clearfield County,week 4,0
Clearfield County,week 5,0
Clearfield County,week 6,0
Clearfield County,week 7,0
Clearfield County,week 8,0
Clearfield County,week 9,1
Clearfield County,week 10,18
Clearfield County,week 11,41
Clearfield County,week 12,58
Clearfield County,week 13,69
Clearfield County,week 14,77
Clearfield County,week 15,125
Clearfield County,week 16,171
Clearfield County,week 17,229
Clearfield County,week 18,238
Clearfield County,week 19,272
Clearfield County,week 20,307
Clearfield County,week 21,366
Clearfield County,week 22,450
Clearfield County,week 23,501
Clearfield County,week 24,523
Clearfield County,week 25,612
Clearfield County,week 26,691
Clearfield County,week 27,788
Clearfield County,week 28,926
Clearfield County,week 29,1136
Clearfield County,week 30,1315
Clearfield County,week 31,1445
Clearfield County,week 32,1560
Clearfield County,week 33,1731
Clearfield County,week 34,1916
Clearfield County,week 35,2107
Clearfield County,week 36,2239
Clearfield County,week 37,2376
Clearfield County,week 38,2518
Clearfield County,week 39,2714
Clearfield County,week 40,3050
Clearfield County,week 41,3474
Clearfield County,week 42,4091
Clearfield County,week 43,670
Clinton County,week 1,0
Clinton County,week 2,0
Clinton County,week 3,0
Clinton County,week 4,0
Clinton County,week 5,0
Clinton County,week 6,0
Clinton County,week 7,0
Clinton County,week 8,0
Clinton County,week 9,0
Clinton County,week 10,0
Clinton County,week 11,9
Clinton County,week 12,44
Clinton County,week 13,70
Clinton County,week 14,137
Clinton County,week 15,223
Clinton County,week 16,270
Clinton County,week 17,303
Clinton County,week 18,345
Clinton County,week 19,393
Clinton County,week 20,422
Clinton County,week 21,437
Clinton County,week 22,480
Clinton County,week 23,527
Clinton County,week 24,562
Clinton County,week 25,656
Clinton County,week 26,715
Clinton County,week 27,754
Clinton County,week 28,798
Clinton County,week 29,839
Clinton County,week 30,889
Clinton County,week 31,905
Clinton County,week 32,934
Clinton County,week 33,1073
Clinton County,week 34,1177
Clinton County,week 35,1319
Clinton County,week 36,1434
Clinton County,week 37,1481
Clinton County,week 38,1568
Clinton County,week 39,1659
Clinton County,week 40,1769
Clinton County,week 41,1947
Clinton County,week 42,2235
Clinton County,week 43,349
Columbia County,week 1,0
Columbia County,week 2,0
Columbia County,week 3,0
Columbia County,week 4,0
Columbia County,week 5,0
Columbia County,week 6,0
Columbia County,week 7,0
Columbia County,week 8,0
Columbia County,week 9,3
Columbia County,week 10,30
Columbia County,week 11,144
Columbia County,week 12,643
Columbia County,week 13,1262
Columbia County,week 14,1818
Columbia County,week 15,2030
Columbia County,week 16,2220
Columbia County,week 17,2343
Columbia County,week 18,2395
Columbia County,week 19,2429
Columbia County,week 20,2509
Columbia County,week 21,2627
Columbia County,week 22,2743
Columbia County,week 23,2794
Columbia County,week 24,2857
Columbia County,week 25,2925
Columbia County,week 26,3006
Columbia County,week 27,3128
Columbia County,week 28,3212
Columbia County,week 29,3305
Columbia County,week 30,3411
Columbia County,week 31,3594
Columbia County,week 32,4285
Columbia County,week 33,5323
Columbia County,week 34,5825
Columbia County,week 35,5996
Columbia County,week 36,6206
Columbia County,week 37,6589
Columbia County,week 38,6938
Columbia County,week 39,7133
Columbia County,week 40,7302
Columbia County,week 41,7512
Columbia County,week 42,7879
Columbia County,week 43,1165
Crawford County,week 1,0
Crawford County,week 2,0
Crawford County,week 3,0
Crawford County,week 4,0
Crawford County,week 5,0
Crawford County,week 6,0
Crawford County,week 7,0
Crawford County,week 8,0
Crawford County,week 9,0
Crawford County,week 10,15
Crawford County,week 11,43
Crawford County,week 12,96
Crawford County,week 13,113
Crawford County,week 14,131
Crawford County,week 15,133
Crawford County,week 16,142
Crawford County,week 17,147
Crawford County,week 18,150
Crawford County,week 19,191
Crawford County,week 20,210
Crawford County,week 21,238
Crawford County,week 22,273
Crawford County,week 23,361
Crawford County,week 24,448
Crawford County,week 25,539
Crawford County,week 26,745
Crawford County,week 27,817
Crawford County,week 28,884
Crawford County,week 29,1010
Crawford County,week 30,1162
Crawford County,week 31,1288
Crawford County,week 32,1451
Crawford County,week 33,1590
Crawford County,week 34,1724
Crawford County,week 35,1994
Crawford County,week 36,2125
Crawford County,week 37,2260
Crawford County,week 38,2400
Crawford County,week 39,2656
Crawford County,week 40,3164
Crawford County,week 41,3994
Crawford County,week 42,4944
Crawford County,week 43,813
Cumberland County,week 1,0
Cumberland County,week 2,0
Cumberland County,week 3,0
Cumberland County,week 4,0
Cumberland County,week 5,0
Cumberland County,week 6,0
Cumberland County,week 7,0
Cumberland County,week 8,26
Cumberland County,week 9,79
Cumberland County,week 10,148
Cumberland County,week 11,381
Cumberland County,week 12,729
Cumberland County,week 13,1160
Cumberland County,week 14,1771
Cumberland County,week 15,2511
Cumberland County,week 16,2974
Cumberland County,week 17,3534
Cumberland County,week 18,4058
Cumberland County,week 19,4384
Cumberland County,week 20,4659
Cumberland County,week 21,5026
Cumberland County,week 22,5430
Cumberland County,week 23,5836
Cumberland County,week 24,6160
Cumberland County,week 25,6558
Cumberland County,week 26,7056
Cumberland County,week 27,7746
Cumberland County,week 28,8485
Cumberland County,week 29,8984
Cumberland County,week 30,9503
Cumberland County,week 31,10037
Cumberland County,week 32,10573
Cumberland County,week 33,11119
Cumberland County,week 34,11624
Cumberland County,week 35,12207
Cumberland County,week 36,12867
Cumberland County,week 37,13655
Cumberland County,week 38,14448
Cumberland County,week 39,15584
Cumberland County,week 40,16704
Cumberland County,week 41,17831
Cumberland County,week 42,19724
Cumberland County,week 43,3119
Dauphin County,week 1,0
Dauphin County,week 2,0
Dauphin County,week 3,0
Dauphin County,week 4,0
Dauphin County,week 5,0
Dauphin County,week 6,0
Dauphin County,week 7,0
Dauphin County,week 8,0
Dauphin County,week 9,6
Dauphin County,week 10,180
Dauphin County,week 11,709
Dauphin County,week 12,1478
Dauphin County,week 13,2366
Dauphin County,week 14,3428
Dauphin County,week 15,4341
Dauphin County,week 16,5511
Dauphin County,week 17,6546
Dauphin County,week 18,7515
Dauphin County,week 19,8814
Dauphin County,week 20,10179
Dauphin County,week 21,11258
Dauphin County,week 22,12294
Dauphin County,week 23,13564
Dauphin County,week 24,15126
Dauphin County,week 25,15925
Dauphin County,week 26,16703
Dauphin County,week 27,17652
Dauphin County,week 28,18562
Dauphin County,week 29,19475
Dauphin County,week 30,20681
Dauphin County,week 31,21719
Dauphin County,week 32,22917
Dauphin County,week 33,24001
Dauphin County,week 34,24844
Dauphin County,week 35,25723
Dauphin County,week 36,26463
Dauphin County,week 37,27425
Dauphin County,week 38,28923
Dauphin County,week 39,30503
Dauphin County,week 40,32252
Dauphin County,week 41,34681
Dauphin County,week 42,37892
Dauphin County,week 43,5719
Delaware County,week 1,0
Delaware County,week 2,0
Delaware County,week 3,0
Delaware County,week 4,0
Delaware County,week 5,0
Delaware County,week 6,0
Delaware County,week 7,5
Delaware County,week 8,37
Delaware County,week 9,265
Delaware County,week 10,1585
Delaware County,week 11,4446
Delaware County,week 12,10255
Delaware County,week 13,15967
Delaware County,week 14,21980
Delaware County,week 15,27742
Delaware County,week 16,33492
Delaware County,week 17,38435
Delaware County,week 18,42619
Delaware County,week 19,44863
