,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,8,9,13,12,12,27,27,30,34,47,24,43,21,4,6,16,7,2,3,4,5,4,3,4
Albania,0,0,0,0,0,0,0,0,0,0,3,10,26,33,3,9,6,10,0,0,3,3,3,6,25,48,72,56,61,107,97,97,103,83,103,121,65,89,54,68,83
Algeria,0,0,0,0,0,0,0,0,0,0,0,2,3,32,33,18,11,7,9,12,13,13,12,14,19,13,13,14,16,18,18,17,15,17,14,12,13,14,9,13,8
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,1035,1681,1034,906,517,645,387,388,0,0,0,0,129,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,517
Angola,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4,4,8,5,4,2,3,5,7,7,5,8
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua_and_Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,10,11,15,10,18,19,21,31,36,42,53,55,84,104,129,157,213,246,294,313,312,332,458,583,1184,601
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,10,16,26,26,19,33,22,56,89,227,199,257,267,240,203,263,273,192,145,115,94,101,84,70,64,57,70,90,161
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,94,282,282,469,468,375,94,469,188
Australia,0,0,0,0,0,0,0,0,0,0,1,0,4,9,8,4,5,5,0,0,0,0,0,0,0,0,1,0,6,14,24,36,43,39,52,43,21,14,9,7,1
Austria,0,0,0,0,0,0,0,0,0,0,3,24,92,124,164,104,98,56,22,9,12,30,4,6,13,14,3,2,2,3,5,5,6,4,0,14,11,11,25,31,56
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,7,3,4,6,8,11,17,25,29,39,45,52,55,50,60,45,24,16,11,15,17,13,12,12,10,11
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,126,75,25,51,0,0,0,0,0,0,0,0,0,0,0,0,0,76,25,101,534,101,380,229,177,356,280,203
Bahrain,0,0,0,0,0,0,0,0,0,0,6,6,12,0,18,0,6,0,0,24,12,30,48,114,113,112,83,65,113,78,54,78,60,66,36,60,78,48,141,95,112
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,7,8,9,16,17,17,17,19,17,16,17,13,15,16,17,19,14,14,13,13,11,10
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,22,24,28,32,36,33,36,36,36,40,36,42,39,35,36,33,18,24,33,35,35,40,29,37,40,40
Belgium,0,0,0,0,0,0,0,0,0,1,25,229,754,1439,1725,1377,972,570,440,248,190,135,86,49,40,26,21,11,19,15,18,31,60,34,22,16,17,24,41,72,105
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,151,75,75,75,50,75,150,176
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,5,4,5,2,4,4,3,1,2,1,0,1,0,0,0,0,1,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,321,322,161,161,161,161,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,6,8,13,6,18,24,32,44,76,71,113,133,159,216,348,334,302,368,498,416,353,389,385,1735,291,223,211,197,169
Bosnia_and_Herzegovina,0,0,0,0,0,0,0,0,0,0,0,3,21,60,30,30,36,51,105,60,39,24,18,15,18,39,39,84,96,115,160,237,151,198,211,167,102,198,181,201,146
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,13,13,8,9,13,0,18
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,7,19,36,59,93,130,197,248,314,304,338,321,344,333,337,345,343,352,330,334,318,320,285,263,238,247,225,217,189
British_Virgin_Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,2,1,7,20,12,15,21,28,22,27,26,19,29,17,45,22,39,38,47,57,60,102,76,74,96,70,76,52,61,67,88
Burkina_Faso,0,0,0,0,0,0,0,0,0,0,0,1,4,2,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,6,2,23,5,11,11,3,25,10,4,7,11,5,4,1,4,3,2,1,1,0,0,1,1,1
Canada,0,0,0,0,0,0,0,0,0,0,1,6,17,62,122,241,269,304,302,226,186,207,134,90,69,35,35,27,18,11,13,11,12,14,11,7,9,13,15,60,32
Cape_Verde,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,18,0,18,18,36,18,72,90,36,36,18,54,126,72,18,54,36,54,108,144,162,126
Cayman_Islands,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central_African_Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,10,40,34,10,2,4,8,0,2,2,0,2,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,12,7,4,3,3,1,0,0,1,0,0,0,1,0,0,1,1,2,0,4,1,4
Chile,0,0,0,0,0,0,0,0,0,0,0,2,6,16,24,30,31,39,28,81,147,185,603,573,596,562,424,335,841,290,273,227,195,210,196,190,188,149,209,176,178
China,0,0,0,0,0,6,7,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,2,5,14,17,13,21,24,22,31,43,67,83,115,179,195,244,289,364,440,420,435,441,403,383,296,249,245,237,224
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,34,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,4,4,2,7,4,6,4,10,18,6,7,5,6,7,8,0,33,2,2,9,9,2,0,0,2
Costa_Rica,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,6,0,0,2,6,0,0,0,4,0,6,16,16,70,98,112,145,120,116,146,147,218,243,226,248,236
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,13,23,21,52,28,52,25,9,11,6,2,7,0,0,14,13,7,40,33,11,19,16,31,35,63,64,46,68,65
Cuba,0,0,0,0,0,0,0,0,0,0,0,1,3,5,12,15,19,13,8,2,3,1,0,1,1,1,0,1,0,0,0,1,0,3,3,8,6,8,6,1,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,79,22,33,0,34,0,11,11,0,0,11,0,11,0,0,0,0,0,0,0,11,11,0,0,11,0,0,0,33
Denmark,0,0,0,0,0,0,0,0,0,0,2,39,91,190,169,137,109,110,58,42,26,21,29,9,6,6,4,5,2,4,6,7,2,3,2,8,9,12,15,18,19
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,40,70,100,70,120,50,50,20,10,0,20,10,0,0,10,0,10,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican_Republic,0,0,0,0,0,0,0,0,0,0,0,3,36,41,83,54,41,61,43,38,24,39,35,61,58,59,64,92,83,84,92,134,142,85,127,143,111,64,41,43,34
Ecuador,0,0,0,0,0,0,0,0,0,0,2,9,25,73,91,87,88,514,325,370,230,109,140,162,166,158,182,136,145,121,133,94,86,135,134,2278,196,99,106,226,304
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,7,8,9,10,10,14,20,27,38,60,59,54,51,41,30,23,15,14,10,13,13,12,14,12,9,7
El_Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2,2,10,10,19,11,16,20,27,48,88,90,84,114,87,120,131,74,93,71,62,45,35,27,59,38
Equatorial_Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14,21,35,0,0,0,143,0,135,0,0,0,228,0,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,23,122,69,91,78,38,46,16,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,24,8
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,3,5,10,7,10,11,9,11,7,7,7,6,7
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,2,23,26,59,69,171,86,56,52,15,22,6,6,2,2,0,0,0,2,0,8,2,2,0,2,6,4,4,6,0
France,0,0,0,0,0,0,0,0,0,3,18,109,332,901,927,812,464,291,221,191,82,62,57,34,34,23,17,17,21,8,12,6,14,15,16,14,35,61,72,77,81
French_Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,178,72,72
Gabon,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,12,13,8,13,13,17,26,53,13,18,0,0,13,8,0,9,0,0,0,0,4,0,0,0
Gambia,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,16,4,58,165,99,36,12,16,28,4,16,12
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,6,8,6,3,0,0,3,3,0,3,0,0,3,0,3,0,0,3,3,0,0,8,29,53,99
Germany,0,0,0,0,0,0,0,0,0,0,0,14,56,123,161,195,157,110,85,58,35,26,23,10,11,9,5,4,1,4,5,4,4,5,2,2,3,4,9,8,11
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,2,1,1,4,2,10,9,6,3,5,5,7,8,9,9,4,2,4,1,2,1,2
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,4,13,26,36,20,17,20,10,5,14,7,7,3,2,6,1,1,1,2,7,7,4,17,12,24,23,21,34,39,34,38
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,59,0,177,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,177,296,709,592,533,532,296
Guatemala,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,5,3,4,8,13,32,83,72,82,112,132,146,143,129,156,116,93,125,84,58,61,85,61,36,48
Guernsey,0,0,0,0,0,0,0,0,0,0,0,0,0,596,298,596,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,4,4,3,0,3,1,4,3,3,3,5,1,4,1,3,4,2,2,2,1,1,3
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,51,13,13,13,13,13,0,13,13,0,0,0,0,52,13,26,13,13,13,13,101,101,101,114,113,163,151,177
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,5,5,5,10,13,9,20,12,17,8,26,5,11,8,14,12,0,5,12,5,2,6,2,1
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,7,15,4,20,15,21,34,30,36,35,45,60,73,90,171,133,146,232,219,122,77,100,192,150,64,117,97,132,88
Hungary,0,0,0,0,0,0,0,0,0,0,1,7,8,31,75,93,79,72,62,42,32,33,16,17,8,12,4,6,1,0,1,8,4,4,2,10,17,52,63,99,149
Iceland,0,0,0,0,0,0,0,0,0,0,0,58,0,118,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,7,9,13,18,29,21,23,26,31,38,42,45,47,48,49,55,58,59,54,54,46
Indonesia,0,0,0,0,0,0,0,0,0,0,0,1,2,2,7,7,7,3,5,8,8,9,9,11,10,10,17,15,22,21,17,17,16,21,24,26,26,31,29,29,25
Iran,0,0,0,0,0,0,0,0,5,21,73,115,114,117,101,75,70,57,49,44,47,53,57,71,94,110,127,154,164,179,178,145,142,100,110,100,108,139,155,168,192
Iraq,0,0,0,0,0,0,0,0,0,1,0,3,5,4,2,0,1,1,2,3,9,10,38,69,129,168,180,170,154,146,118,132,122,141,130,135,124,134,106,102,112
Ireland,0,0,0,0,0,0,0,0,0,0,4,8,96,242,388,652,841,439,300,161,118,88,66,46,22,36,12,10,14,20,0,18,4,6,0,0,14,16,20,16,34
Isle_of_Man,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,823,1059,589,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,1,16,45,67,70,28,37,26,16,10,6,12,4,5,13,21,30,57,69,83,78,91,178,106,100,127,160,270,290,305
Italy,0,0,0,0,0,0,0,1,8,68,280,646,912,816,650,604,473,346,274,208,145,98,82,67,48,15,19,15,14,9,8,7,32,6,7,12,12,16,21,25,34
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,6,3,6,0,0,0,0,3,0,0,0,0,0,0,0,7,6,0,6,16,43,35,89,77,92,88
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,14,11,10,10,7,3,1,0,1,1,0,0,0,0,0,2,5,6,7,7,5,5,4,4,2
Jersey,0,0,0,0,0,0,0,0,0,0,0,0,198,99,99,990,495,495,99,198,198,0,99,0,99,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,2,9,6,19,59,97
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,3,4,2,3,2,0,4,10,13,25,33,40,59,112,0,279,173,108,78,18,47,35,29,20,19,18
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,3,5,2,3,4,6,9,9,18,8,10,14,5,4,5,4,9,7,8
