County Name,deaths - 1/22/20,deaths - 1/23/20,deaths - 1/24/20,deaths - 1/25/20,deaths - 1/26/20,deaths - 1/27/20,deaths - 1/28/20,deaths - 1/29/20,deaths - 1/30/20,deaths - 1/31/20,deaths - 2/1/20,deaths - 2/2/20,deaths - 2/3/20,deaths - 2/4/20,deaths - 2/5/20,deaths - 2/6/20,deaths - 2/7/20,deaths - 2/8/20,deaths - 2/9/20,deaths - 2/10/20,deaths - 2/11/20,deaths - 2/12/20,deaths - 2/13/20,deaths - 2/14/20,deaths - 2/15/20,deaths - 2/16/20,deaths - 2/17/20,deaths - 2/18/20,deaths - 2/19/20,deaths - 2/20/20,deaths - 2/21/20,deaths - 2/22/20,deaths - 2/23/20,deaths - 2/24/20,deaths - 2/25/20,deaths - 2/26/20,deaths - 2/27/20,deaths - 2/28/20,deaths - 2/29/20,deaths - 3/1/20,deaths - 3/2/20,deaths - 3/3/20,deaths - 3/4/20,deaths - 3/5/20,deaths - 3/6/20,deaths - 3/7/20,deaths - 3/8/20,deaths - 3/9/20,deaths - 3/10/20,deaths - 3/11/20,deaths - 3/12/20,deaths - 3/13/20,deaths - 3/14/20,deaths - 3/15/20,deaths - 3/16/20,deaths - 3/17/20,deaths - 3/18/20,deaths - 3/19/20,deaths - 3/20/20,deaths - 3/21/20,deaths - 3/22/20,deaths - 3/23/20,deaths - 3/24/20,deaths - 3/25/20,deaths - 3/26/20,deaths - 3/27/20,deaths - 3/28/20,deaths - 3/29/20,deaths - 3/30/20,deaths - 3/31/20,deaths - 4/1/20,deaths - 4/2/20,deaths - 4/3/20,deaths - 4/4/20,deaths - 4/5/20,deaths - 4/6/20,deaths - 4/7/20,deaths - 4/8/20,deaths - 4/9/20,deaths - 4/10/20,deaths - 4/11/20,deaths - 4/12/20,deaths - 4/13/20,deaths - 4/14/20,deaths - 4/15/20,deaths - 4/16/20,deaths - 4/17/20,deaths - 4/18/20,deaths - 4/19/20,deaths - 4/20/20,deaths - 4/21/20,deaths - 4/22/20,deaths - 4/23/20,deaths - 4/24/20,deaths - 4/25/20,deaths - 4/26/20,deaths - 4/27/20,deaths - 4/28/20,deaths - 4/29/20,deaths - 4/30/20,deaths - 5/1/20,deaths - 5/2/20,deaths - 5/3/20,deaths - 5/4/20,deaths - 5/5/20,deaths - 5/6/20,deaths - 5/7/20,deaths - 5/8/20,deaths - 5/9/20,deaths - 5/10/20,deaths - 5/11/20,deaths - 5/12/20,deaths - 5/13/20,deaths - 5/14/20,deaths - 5/15/20,deaths - 5/16/20,deaths - 5/17/20,deaths - 5/18/20,deaths - 5/19/20,deaths - 5/20/20,deaths - 5/21/20,deaths - 5/22/20,deaths - 5/23/20,deaths - 5/24/20,deaths - 5/25/20,deaths - 5/26/20,deaths - 5/27/20,deaths - 5/28/20,deaths - 5/29/20,deaths - 5/30/20,deaths - 5/31/20,deaths - 6/1/20,deaths - 6/2/20,deaths - 6/3/20,deaths - 6/4/20,deaths - 6/5/20,deaths - 6/6/20,deaths - 6/7/20,deaths - 6/8/20,deaths - 6/9/20,deaths - 6/10/20,deaths - 6/11/20,deaths - 6/12/20,deaths - 6/13/20,deaths - 6/14/20,deaths - 6/15/20,deaths - 6/16/20,deaths - 6/17/20,deaths - 6/18/20,deaths - 6/19/20,deaths - 6/20/20,deaths - 6/21/20,deaths - 6/22/20,deaths - 6/23/20,deaths - 6/24/20,deaths - 6/25/20,deaths - 6/26/20,deaths - 6/27/20,deaths - 6/28/20,deaths - 6/29/20,deaths - 6/30/20,deaths - 7/1/20,deaths - 7/2/20,deaths - 7/3/20,deaths - 7/4/20,deaths - 7/5/20,deaths - 7/6/20,deaths - 7/7/20,deaths - 7/8/20,deaths - 7/9/20,deaths - 7/10/20,deaths - 7/11/20,deaths - 7/12/20,deaths - 7/13/20,deaths - 7/14/20,deaths - 7/15/20,deaths - 7/16/20,deaths - 7/17/20,deaths - 7/18/20,deaths - 7/19/20,deaths - 7/20/20,deaths - 7/21/20,deaths - 7/22/20,deaths - 7/23/20,deaths - 7/24/20,deaths - 7/25/20,deaths - 7/26/20,deaths - 7/27/20,deaths - 7/28/20,deaths - 7/29/20,deaths - 7/30/20,deaths - 7/31/20,deaths - 8/1/20,deaths - 8/2/20,deaths - 8/3/20,deaths - 8/4/20,deaths - 8/5/20,deaths - 8/6/20,deaths - 8/7/20,deaths - 8/8/20,deaths - 8/9/20,deaths - 8/10/20,deaths - 8/11/20,deaths - 8/12/20,deaths - 8/13/20,deaths - 8/14/20,deaths - 8/15/20,deaths - 8/16/20,deaths - 8/17/20,deaths - 8/18/20,deaths - 8/19/20,deaths - 8/20/20,deaths - 8/21/20,deaths - 8/22/20,deaths - 8/23/20,deaths - 8/24/20,deaths - 8/25/20,deaths - 8/26/20,deaths - 8/27/20,deaths - 8/28/20,deaths - 8/29/20,deaths - 8/30/20,deaths - 8/31/20,deaths - 9/1/20,deaths - 9/2/20,deaths - 9/3/20,deaths - 9/4/20,deaths - 9/5/20,deaths - 9/6/20,deaths - 9/7/20,deaths - 9/8/20,deaths - 9/9/20,deaths - 9/10/20,deaths - 9/11/20,deaths - 9/12/20,deaths - 9/13/20,deaths - 9/14/20,deaths - 9/15/20,deaths - 9/16/20
Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,2,0,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,2,0
Baker County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
Bay County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,2,1,0,1,0,0,0,4,2,0,0,0,1,15,8,0,0,6,0,0,1,0,0,9,3,0,0,3,0,2,0,2,0,0,3,2,1,1,0,0,0,1,3,2,0,1,1,0,0,1,0,3,1,0,0,2,0
Bradford County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Brevard County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,6,1,1,1,0,5,6,4,2,3,1,0,3,5,2,4,0,0,1,0,30,13,6,1,2,0,6,9,2,6,2,9,0,6,3,3,5,6,4,0,3,8,3,2,1,0,0,0,5,5,2,2,1,0,0,8,5,5,6,1,0,0,2,8,8,1,0,2,7,3
Broward County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,7,1,0,1,0,1,4,5,10,8,7,7,6,7,5,4,0,0,5,13,7,6,8,0,7,4,21,10,5,0,8,4,5,3,3,14,5,3,1,7,4,11,18,9,0,1,0,9,0,5,6,1,2,1,3,1,0,6,0,6,2,5,2,1,5,0,1,3,1,7,2,7,5,4,3,3,1,0,7,0,1,0,2,5,2,3,3,0,4,1,1,2,1,0,0,1,2,9,12,3,3,2,4,1,8,11,17,9,0,0,0,0,13,11,5,19,5,12,7,10,34,25,2,0,31,38,33,33,3,3,17,17,0,0,7,14,18,35,3,24,31,26,40,33,12,24,2,17,20,25,19,15,13,9,6,8,0,1,3,10,9,6,3,0,5,14,10,14,18,3,1,4,4,9
Calhoun County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,1,2,0,0,2,0,0,1,2,0,0,0,1,3,1,3,3,0,0,1,3,1,1,2,0,0,2,2,1,2,1,0,0,3,7,1,2,2,0,0,0,2,3,1,1,0,0,2,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,1,3,0,0,0,0,0,1,1,0,0,3,2,1,0,3,0,1,2,3,0,1,0,0,0,1,0,0,0,2,0,0,2,1,1,2,0,1,0,0,1,1,3,0,0,0,3,3
Citrus County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,3,3,1,2,1,0,4,0,2,0,0,0,0,1,1,0,0,2,0,0,3,2,1,0,0,0,2,2,3,1,1,2,0,0,2,1,1,1,2,0,0,0,3,3,0,2,0,1,2,1
Clay County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,1,0,1,0,1,2,0,0,0,1,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,8,0,4,0,0,4,1,0,0,0,0,1,2,0,2,0,1,0,0,1,0,2,0,0,0,0,0,2,0,4,1,0,0,2,1
Collier County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,0,0,1,1,1,3,1,0,0,0,1,1,2,2,0,0,1,3,2,0,0,0,0,1,4,2,1,2,0,0,0,3,0,1,1,3,0,1,0,0,3,0,0,0,0,0,0,4,2,1,0,1,0,0,2,0,1,0,0,0,0,1,0,3,0,0,1,2,3,0,0,1,0,3,7,1,3,0,0,0,0,0,0,6,3,0,0,2,3,1,4,1,2,0,2,5,0,3,0,0,1,0,2,1,1,2,0,0,5,0,1,1,2,3,0,7,3,2,3,0,1,2,5,1,1,1,1,0,0,3,4,2,2,2,0,0,1,3,0,1,1,2,0,0,3,1,4,0,0,0,1,1
Columbia County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,4,1,3,2,0,0,0,3,2,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,1,0,0,0,4,1,0,0,0,1,5
DeSoto County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dixie County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Duval County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,1,0,2,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,2,1,1,2,0,0,2,1,0,0,0,0,3,0,0,2,1,0,1,0,1,4,0,0,2,1,2,0,1,1,2,1,0,0,0,1,1,1,0,0,1,2,0,0,0,0,2,0,1,0,0,0,0,2,0,2,0,0,0,0,0,3,1,0,0,0,0,2,0,4,0,2,5,3,3,2,0,4,0,1,4,7,3,5,9,16,1,4,0,6,3,1,4,1,2,2,2,1,12,11,0,1,9,12,2,2,7,1,0,8,2,0,3,0,0,0,8,3,3,2,3,0,0,5,3,5,1,2,1,1,0,4,26,17,0,0,3,4,10
Escambia County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,2,2,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,2,0,0,0,1,0,0,1,0,0,0,1,0,3,1,1,0,0,0,3,0,4,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,1,3,1,1,0,0,1,0,1,1,0,1,1,3,1,1,10,3,0,4,2,0,6,4,3,2,0,0,4,6,4,4,5,0,0,11,6,4,6,3,2,0,7,5,6,1,0,0,0,7,1,4,1,2,0,0,2,1,1,2,1,0,0,0,1,6,3,0,0,1,6,3
Flagler County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,2
